OPT_Code,Name,Affiliation,Site_Type,Street_Address,Zip,Longitude,Latitude
22781,SUCCESS ACAD SCH-BERGEN BEACH,Charter,School,1420 EAST 68TH STREET,11234,-73.912945,40.621171
22784,MERCAZ GAN /YESH OHEL SARAH,Yeshiva,School,2221 AVENUE R,11229,-73.950512,40.606679
22785,YESHIVAT OHEL TORAH,Yeshiva,School,2600 OCEAN AVENUE,11229,-73.951289,40.598162
22787,NEFESH ACADEMY,Yeshiva,School,2005 EAST 17 STREET,11229,-73.95476,40.600925
22788,NEW VISTAS ACADEMY,Nonsectarian,School,3321 GLENWOOD ROAD,11210,-73.944609,40.634278
22790,CTRL BKLYN ASCEND CHARTER SCH,Charter,School,465 EAST 29TH STREET,11226,-73.949203,40.639286
22791,BROOKLYN DREAMS CHARTER SCHOOL,Charter,School,259 PARKVILLE AVENUE,11230,-73.969751,40.631792
22795,SPEC. TORAH EDUCATION PROGRAM,Yeshiva,School,2555 NOSTRAND AVENUE,11210,-73.945968,40.622581
22805,BKLYN 7TH DAY ADVENTIST SCHOOL,Christian,School,1260 OCEAN AVENUE,11230,-73.957611,40.631574
23073,PS 73,Public,School,241 MC DOUGAL STREET,11233,-73.91172,40.680268
22809,HAOR BEACON SCHOOL,Yeshiva,School,2884 NOSTRAND AVENUE,11223,-73.944535,40.614012
22810,YESHIVA DERECH HATORAH,Yeshiva,School,2810 NOSTRAND AVENUE,11229,-73.944873,40.615714
22811,EAST MIDWOOD HEBREW DAY SCHOOL,Yeshiva,School,1256 EAST 21 STREET,11210,-73.954862,40.622605
22842,YESHIVA GEDOLA CHOK L'YISROEL,Yeshiva,School,2102 AVENUE T,11229,-73.950639,40.601682
22848,PROSPECT PARK YESHIVA KNDG.,Yeshiva,School,1784 EAST 17 STREET,11229,-73.956067,40.60666
22851,YESHIVAT LEV TORAH,Yeshiva,School,3300 KINGS HIGHWAY,11234,-73.942207,40.618675
22853,MASORES BAIS YAAKOV,Yeshiva,School,1395 OCEAN AVENUE,11230,-73.956778,40.628352
22860,YESH & MESIV TORA TEMIMAH,Yeshiva,School,555 OCEAN PARKWAY,11218,-73.972113,40.634936
22875,U.C.P BKLYN CHILDRENS PROG,Nonsectarian,School,160 LAWRENCE AVE,11230,-73.973554,40.630574
22888,BROOKLYN SOUTH BOROUGH OFF STH,Public,Office,1780 OCEAN AVENUE  ROOM 1B,11230,-73.955215,40.618905
22897,SHAARE TORAH HS FOR GIRLS,Yeshiva,School,1768 OCEAN AVENUE,11230,-73.955256,40.619121
22902,BKLYN UNITED CEREBRAL PSLY SCH,Nonsectarian,School,175 LAWRENCE AVENUE,11230,-73.973384,40.630856
22999,SYLVAN LEARNING CTR,Nonsectarian,School,2555 OCEAN AVENUE,11229,-73.951216,40.598969
23001,Brooklyn Ascend High School,Charter,School,1501 Pitkin Avenue,11212,-73.918138,40.668674
23002,CROSSROADS,Nonsectarian,Office,17 BRISTOL STREET,11212,-73.912836,40.670775
23004,Kings Elementary,Charter,School,1784 Park Place,11233,-73.918334,40.671598
23041,PS 41,Public,School,411 THATFORD AVENUE,11212,-73.907259,40.660327
23137,PS 137,Public,School,121 SARATOGA AVENUE,11233,-73.917034,40.682691
23150,PS 150,Public,School,364 SACKMAN STREET,11212,-73.904793,40.668821
23155,PS 155,Public,School,1355 HERKIMER STREET,11233,-73.908731,40.677492
23156,PS 156,Public,School,104 SUTTER AVENUE,11212,-73.918091,40.665888
23165,PS/IS 165,Public,School,76 LOTT AVENUE,11212,-73.911044,40.657364
23178,PS 178,Public,School,2163 DEAN STREET,11233,-73.915778,40.6751
23184,PS 184,Public,School,273 NEWPORT STREET,11212,-73.904928,40.66004
23284,PS 284,Public,School,213 OSBORN STREET,11212,-73.908086,40.667213
23298,PS 298,Public,School,85 WATKINS STREET,11212,-73.908066,40.670888
23522,MOTT HALL IV M.S.,Public,School,1137 HERKIMER STREET,11233,-73.915837,40.677882
23323,PS/IS 323,Public,School,210 CHESTER STREET,11212,-73.911007,40.666534
23327,PS 327,Public,School,111 BRISTOL STREET,11212,-73.912259,40.668515
23363,BROWNSVILLE COLLABORATIVE MS,Public,School,85 WATKINS STREET 4TH FLOOR,11212,-73.908066,40.670888
23392,IS 392 GIFTED & TALENTED,Public,School,104 SUTTER AVENUE,11233,-73.918091,40.665888
23395,ROADS CHARTER HS I,Charter,School,1485 HERKIMER STREET,11233,-73.904384,40.677252
23396,P396K @ P396K,Public,School,110 CHESTER STREET,11212,-73.911599,40.668851
23401,THE CHRISTOPHER AVE COMM SCH,Public,School,51 CHRISTOPHER AVENUE,11212,-73.906454,40.672474
23414,ACHIEVEMENT FIRST BROWNSVILLE,Charter,School,2021 BERGEN STREET,11237,-73.913276,40.67418
23418,P396K @ P327K,Public,School,111 BRISTOL STREET,11212,-73.912259,40.668515
23430,OCEANHILL BROWNSVILLE SEC. SCH,Public,School,2021 BERGEN ST,11233,-73.913276,40.67418
23445,RIVERDALE AVENUE COMM SCHOOL,Public,School,76 RIVERDALE AVENUE,11212,-73.913917,40.660127
23460,P077K @ P178K,Public,School,2163 DEAN ST,11233,-73.915778,40.6751
23467,OCEAN HILL COLLEGIATE CHARTER,Charter,School,1137 HERKIMER STREET,11233,-73.915837,40.677882
23471,P140K @ I323K,Public,School,210 CHESTER STREET,11212,-73.911007,40.666534
23514,FREDERICK DOUGLASS ACAD.VII HS,Public,School,226 BRISTOL STREET,11212,-73.911807,40.665873
23518,KAPPA V,Public,School,985 ROCKAWAY AVENUE,11212,-73.907147,40.656082
23520,BROOKLYN COLLEGIATE,Public,School,2021 BERGEN STREET,11233,-73.913276,40.67418
23550,P2G @ FANNIS BARNES URBAN,Public,School,829 SARATOGA AVENUE,11212,-73.915086,40.660487
23599,BROOKLYN LANDMARK ELEM SCHOOL,Public,School,251 MCDOUGAL STREET,11233,-73.910658,40.680392
23643,BKLYN DEMOCRACY ACADEMY,Public,School,985 ROCKAWAY AVENUE,11212,-73.907147,40.656082
23644,EAGLE ACAD FOR YOUNG MEN ll,Public,School,1137 HERKIMER STREET,11223,-73.915837,40.677882
23646,ASPIRATIONS DIPLOMA PLUS HS,Public,School,1495 HERKIMER STREET,11233,-73.903955,40.677228
23647,METROPOLITIAN DIPLOMA PLUS HS,Public,School,985 ROCKAWAY AVENUE,11211,-73.907147,40.656082
23664,BKLYN ENVIR.EXPLO.SCHOOL,Public,School,251 MCDOUGAL STREET,11233,-73.910658,40.680392
23669,RIVERDALE AVENUE M.S.,Public,School,76 RIVERDALE AVENUE,11212,-73.913917,40.660127
23671,MOTT HALL BRIDGES ACADEMY,Public,School,210 CHESTER STREET,11212,-73.911007,40.666534
23684,LEADERSHIP PREP OCEAN HILL,Charter,School,51 CHRISTOPHER AVENUE,11212,-73.906454,40.672474
23687,BROWNSVILLE COLLEGIATE CHARTER,Charter,School,364 SACKMAN STREET,11212,-73.904793,40.668821
23688,LEADERSHIP PREP BROWNSVILLE,Charter,School,985 ROCKAWAY AVENUE,11212,-73.907147,40.656082
23697,TEACHERS PREPARATORY SCHOOL,Public,School,226 BRISTOL STREET,11212,-73.911807,40.665873
23711,LEADERSHIP PREP BROWNSVILLE MS,Charter,School,213 OSBORN STREET,11212,-73.908086,40.667213
23775,LEADERSHIP PREP OCEAN HILL MS,Charter,School,51 CHRISTOPHER AVENUE,11212,-73.906454,40.672474
23848,BROWNSVILLE ASCEND CHARTER SCH,Charter,School,1501 PITKIN AVENUE,11212,-73.918138,40.668674
23850,PS 327 ANNEX @ IS 263,Public,School,210 CHESTER STREET,11212,-73.911007,40.666534
23875,PEOPLE'S ELEMENTARY,Nonsectarian,School,1495 HERKIMER STREET,11233,-73.903955,40.677228
24001,PS 199 Annex @ PS 343,Public,School,45-46 42nd Street,11104,-73.922615,40.743131
24003,SOUTH ASIAN YOUTH ACTION-SAYA,Nonsectarian,Office,54-05 SEABURY STREET,11373,-73.877406,40.735362
24004,PS 330 ANNEX,Public,School,43-18 97TH PLACE,11368,-73.866467,40.745969
24005,IS 5,Public,School,50-40 JACOBUS ST,11373,-73.887529,40.737733
24006,LEARNERS & LEADERS ECC AX,Public,School,360 SENECA AVENUE,11385,-73.915422,40.707275
24007,PS 7,Public,School,80-55 CORNISH AVENUE,11373,-73.883376,40.738511
24008,P721Q@ MIDD VILLAGE SR CTR,Public,School,69-10 75TH STREET,11379,-73.876759,40.709261
24009,P009Q @ WALTER REED SCHOOL,Public,School,58-74 57TH STREET,11378,-73.912309,40.718915
24010,P277Q @ PS 311,Public,School,98-11 44TH AVENUE,11368,-73.865329,40.745709
24011,PS 19 AX 2,Public,School,43-18 97th Place,11368,-73.866467,40.745969
24012,PS 12,Public,School,42-00 72ND STREET,11377,-73.892907,40.74262
24013,PS 13,Public,School,55-01 94TH STREET,11373,-73.868414,40.737635
24014,PS 14,Public,School,107-01 OTIS AVENUE,11368,-73.854224,40.740587
24016,PS 16,Public,School,41-15 104th STREET,11368,-73.861136,40.749013
24019,PS 19,Public,School,98-02 ROOSEVELT AVENUE,11368,-73.866557,40.7486
24028,PS 28,Public,School,109-10 47TH AVENUE,11377,-73.854422,40.74716
24049,PS 49 DOROTHY BONAWIT KOLE,Public,School,63-60 80 STREET,11379,-73.875181,40.719832
24058,PS 58,Public,School,72-50 GRAND AVENUE,11378,-73.890409,40.728905
24061,IS 61,Public,School,98-50 50TH AVENUE,11368,-73.863293,40.742592
24068,PS 68,Public,School,59-09 ST FELIX AVENUE,11385,-73.897457,40.696619
24071,PS 71,Public,School,62-85 FOREST AVENUE,11385,-73.905192,40.711229
24073,IS 73,Public,School,70-02 54TH AVENUE,11378,-73.893599,40.72914
24075,P075Q @ ROBERT E. PEARY SCHOOL,Public,School,1666 HANCOCK STREET,11385,-73.905477,40.698424
24077,IS 77,Public,School,976 SENECA AVENUE,11385,-73.902201,40.699454
24081,PS 81,Public,School,599 CYPRESS AVENUE,11385,-73.911109,40.703131
24083,CENTRAL QUEENS ACAD SCHOOL,Charter,School,55-30 JUNCTION BLVD,11373,-73.866449,40.737841
24087,PS 87,Public,School,67-54 80TH STREET,11379,-73.871332,40.711789
24088,PS 88,Public,School,60-85 CATALPA AVENUE,11385,-73.896414,40.703848
24091,PS 91,Public,School,68-10 CENTRAL AVE,11385,-73.88508,40.703586
24093,IS 93,Public,School,66-56 FOREST AVENUE,11385,-73.902678,40.706009
24102,PS/MS 102 BAYVIEW,Public,School,55-24 VAN HORN STREET,11373,-73.877932,40.733461
24110,PS 110,Public,School,43-18 97TH PLACE,11368,-73.866467,40.745969
24113,PS/IS 113 Anthony J. Pranzo,Public,School,78-23 87th Street,11385,-73.862108,40.705532
24119,GLENDALE -IS 119,Public,School,74-01 78 AVENUE,11385,-73.875197,40.704483
24125,IS 125,Public,School,46-02 47TH AVENUE,11377,-73.918967,40.741054
24128,PS 128 JUNIPER VALLEY SCHOOL,Public,School,69-10 65TH DRIVE,11379,-73.886223,40.715267
24143,PS 143,Public,School,34-74 113TH STREET,11368,-73.855912,40.756604
24153,PS 153,Public,School,60-02 60TH LANE,11378,-73.903771,40.716593
24199,PS 199,Public,School,39-20 48TH AVENUE,11104,-73.926232,40.740012
24211,ELM TREE ELEMENTARY SCHOOL,Public,School,86-37 53RD AVENUE,11373,-73.878602,40.735664
24229,PS 229Q,Public,School,67-25 51ST ROAD,11377,-73.897567,40.734371
24236,INTERNATIONAL HS HEALTH SCI.,Public,School,48-01 90TH STREET,11373,-73.874624,40.741143
24239,PS 239,Public,School,17-15 WEIRFIELD STREET,11385,-73.903881,40.699195
24277,P277Q @ Q315,Public,School,43-18 97TH PLACE,11368,-73.866467,40.745969
24290,A.C.E. ACADEMY FOR SCHOLARS,Public,School,55-20 METROPOLITAN AVENUE,11385,-73.908321,40.712947
24293,CIVIC LEADERSHIP ACADEMY,Public,School,45-10 94TH STREET,11373,-73.87074,40.743721
24296,PAN AMERICAN INTER HS l,Public,School,45-10 94TH STREET,11373,-73.87074,40.743721
24298,MIDDLE VILLAGE PREP CHARTER,Charter,School,68-02 METROPOLITAN AVENUE,11379,-73.887669,40.712163
24304,BARD HS EARLY COLLEGE ll,Public,School,30-20 THOMSON AVENUE,11101,-73.936659,40.74502
24305,LEARNERS AND LEADERS ECC,Public,School,378 SENECA AVENUE,11385,-73.915312,40.707209
24307,PS 307 PIONEER ACADEMY,Public,School,40-20 100TH STREET,11368,-73.865251,40.748803
24311,CORONA ARTS & SCIENCES ACADEMY,Public,School,98-11 44th Avenue,11368,-73.865329,40.745709
24325,PS 199 ANNEX AT ST RAPHAEL,Public,School,48-25 37TH STREET,11104,-73.928788,40.739548
24330,PS 330,Public,School,110-08 NORTHERN BLVD,11368,-73.859197,40.757803
24343,THE CHILDREN'S LAB SCHOOL,Public,School,45-45 42ND STREET,11104,-73.922615,40.743131
24400,P2G @ ELMCOR YOUTH & ADULT INC,Public,School,107-20 NORTHERN BLVD,11368,-73.861639,40.757718
24409,P255Q @ P007Q,Public,School,80-55 CORNISH AVENUE,11373,-73.883376,40.738511
24411,THE LIGHTHOUSE CHILD DEV CTR,Nonsectarian,School,60-05 WOODHAVEN BLVD,11373,-73.871194,40.731495
24414,PS 89,Public,School,85-28 BRITTON AVENUE,11373,-73.880118,40.745883
24421,51st Avenue Academy,Public,School,76-05 51st ave,11373,-73.887465,40.736862
24422,P752Q @ P744,Public,School,45-10 94TH STREET,11373,-73.87074,40.743721
24432,P075Q @ IS 93,Public,School,66-56 FOREST AVENUE,11385,-73.902678,40.706009
24434,P075Q @ P239Q,Public,School,1715 WEIRFIELD STREET,11385,-73.903881,40.699195
24442,PS 19 AX,Public,School,86-37 53RD AVENUE,11373,-73.878602,40.735664
24443,PS 199 AX @ ST.TERSEA,Public,School,50-15 44TH STREET,11377,-73.921689,40.737123
24445,PS 14 AX,Public,School,89-11 43RD AVENUE,11373,-73.87656,40.742796
24446,PS 143 AX LOUIS ARMSTRONG,Public,School,98-07 38TH AVENUE,11368,-73.86787,40.750315
24456,P177Q @ PS 87,Public,School,67-54 80TH STREET,11379,-73.871332,40.711789
24457,P255Q @ PS 128,Public,School,69-10 65TH DRIVE,11379,-73.886223,40.715267
24462,P075Q @ P088Q,Public,School,60-85 CATALPA AVE,11385,-73.896414,40.703848
24466,PS 88 AX SENECA SCHOOL,Public,School,869 CYPRESS AVENUE,11385,-73.905219,40.699645
24467,P075Q @ PS 239 AX,Public,School,869 CYPRESS AVENUE,11385,-73.905219,40.699645
24483,CTRL QUEENS ACAD CHARTER SOUTH,Charter,School,88-24 MYRTLE AVENUE,11385,-73.857991,40.702799
24485,P404Q @ ST JOHNS HOSPITAL,Public,School,90-02 QUEENS BLVD,11373,-73.87224,40.733713
24488,P009Q @ P058q,Public,School,72-50 GRAND AVENUE,11378,-73.890409,40.728905
24490,P009Q @ I005Q,Public,School,50-40 JACOBUS ST,11375,-73.887529,40.737733
24499,P721Q @ MASPETH HS,Public,School,54-40 74TH STREET,11373,-73.887563,40.729887
24515,GROVER CLEVELAND HS,Public,School,2127 HIMROD STREET,11385,-73.908903,40.711073
24520,MIDDLE COLLEGE HS,Public,School,45-35 VAN DAM STREET,11101,-73.933536,40.744405
24527,NEWTOWN HS,Public,School,48-01 90TH STREET,11373,-73.874624,40.741143
24530,INTERNATIONAL HIGH SCHOOL,Public,School,45-35 VAN DAM STREET,11101,-73.933536,40.744405
24535,AVIATION CAREER & TECH HS,Public,School,36-02 QUEENS BOULEVARD,11101,-73.928801,40.744077
24539,QUEENS VOCATIONAL HS,Public,School,37-02 47TH AVENUE,11101,-73.928239,40.742129
24551,ACAD.OF FINANCE & ENTERPRISE,Public,School,30-20 THOMSON AVENUE,11101,-73.936659,40.74502
24552,HS OF APPLIED COMMUNICATION,Public,School,30-20 THOMSON AVENUE,11101,-73.936659,40.74502
24560,RFK JR.SEC SCH FOR ARTS-TECH,Public,School,47-07 30TH PLACE,11101,-73.936682,40.742832
24566,P023@ CITY HOSPITAL ELMHURST,Public,School,79-01 BROADWAY,11373,-73.885911,40.744425
24567,Y.A.B.C. @ ARTS & BUSINESS HS,Public,School,105-25 HORACE HARDING EXPRESSWAY,11368,-73.853567,40.737427
24585,MASPETH HS,Public,School,54-40 74TH STREET,11373,-73.887563,40.729887
24612,P721Q @ SELF HELP SENIOR CTR,Public,School,69-61 GRAND AVENUE,11378,-73.893625,40.727074
24637,PS 81 ANNEX AT PS 87,Public,School,67-54 80TH STREET,11379,-73.871332,40.711789
24658,EAST RIVER ACADEMY (EMTC),Public,School,18-00 HAZEN STREET,11370,-73.88399,40.79285
24661,P277Q @ PS 290,Public,School,55-20 METROPOLITAN AVENUE,11385,-73.908321,40.712947
24687,P255Q @ PB055,Public,School,40-20 100TH STREET,11368,-73.865251,40.748803
24700,NOTRE DAME CATHOLIC ACADEMY,Parochial,School,6033 BLEECKER ST,11385,-73.902789,40.711227
24704,OUR LADY OF SORROWS SCH,Parochial,School,35-34 105TH STREET,11368,-73.863308,40.754871
24715,ST LEO SCHOOL,Parochial,School,104-19 49TH AVENUE,11368,-73.858646,40.744554
1019,PS 19,Public,School,185 1ST AVENUE,10003,-73.983907,40.729672
24716,ST BARTHOLOMEW SCHOOL,Parochial,School,44-15 JUDGE STREET,11373,-73.877397,40.743031
24721,P721Q @ JOHN F.KENNEDY JR SCH,Public,School,57-12 94 STREET,11373,-73.867572,40.735977
24724,SACRED HEART SCHOOL,Parochial,School,84-05 78TH AVENUE,11385,-73.86492,40.705758
24728,CATHEDRAL PREP HS,Parochial,School,56-25 92ND STREET,11373,-73.869862,40.736218
24729,CHRIST THE KING REGIONAL HS,Parochial,School,68-02 METROPOLITAN AVENUE,11379,-73.887669,40.712163
24731,MARTIN LUTHER HS,Christian,School,60-02 MASPETH AVENUE,11378,-73.906132,40.723036
24732,OUR LADY OF HOPE SCH,Parochial,School,61-21 71ST STREET,11379,-73.886713,40.720773
24736,REDEEMER LUTHERAN SCH,Nonsectarian,School,69-26 COOPER AVENUE,11385,-73.881769,40.701127
24737,RESURRECTION ASCENSION SCH,Parochial,School,85-25 61ST ROAD,11374,-73.872431,40.727597
24738,ST ADALBERT SCHOOL,Parochial,School,52-17 83RD STREET,11373,-73.88375,40.732921
24740,ST MARGARET SCHOOL,Parochial,School,66-10 80TH STREET,11379,-73.872089,40.71551
24742,ST MATTHIAS SCHOOL,Parochial,School,58-25 CATALPA AVENUE,11385,-73.902224,40.701966
24743,ST PANCRAS SCHOOL,Parochial,School,68-20 MYRTLE AVENUE,11385,-73.88387,40.701608
24744,VOYAGES PREPARATORY,Public,School,45-10 94TH STREET,11373,-73.87074,40.743721
24745,ST STANISLAUS KOSTKA SCHOOL,Parochial,School,61-17 GRAND AVENUE,11378,-73.90409,40.722063
24750,HS FOR ARTS & BUSINESS,Public,School,105-25 HORACE HARDING EXPRESSWAY,11368,-73.853567,40.737427
24755,SCH FOR LANG.& COMM. DEVELOP,Nonsectarian,School,70-24 47TH AVENUE,11377,-73.893786,40.738936
24758,THE MONTESSORI SCHOOL OF NY,Nonsectarian,School,55-30 JUNCTION BLVD,11373,-73.866449,40.737841
24761,ST.ILLUMINATOR'S ARMENIAN SCH,Nonsectarian,School,69-23 47TH AVENUE,11377,-73.894949,40.739132
24802,JACKSON HGHTS 7TH DA SCH,Christian,School,72-25 WOODSIDE AVENUE,11377,-73.892068,40.742982
24811,PS 81 ANNEX,Public,School,511 SENECA AVENUE,11385,-73.911854,40.705381
24887,ALC- RFK WAGNER HS,Public,School,47-07 30TH PLACE,11101,-73.936682,40.742832
25001,AL-MAMOOR SCHOOL,Other Religion,School,78-31 Parsons Blvd,11366,-73.809438,40.721538
25003,PS 24 ANNEX,Public,School,167-02 45TH AVENUE,11358,-73.799722,40.755935
25007,The Lowell School,Nonsectarian,School,24-20 Parsons Boulevard,11357,-73.824334,40.777242
25020,PS 20,Public,School,142-30 BARCLAY AVENUE,11355,-73.824809,40.758613
25022,PS 22,Public,School,153-33 SANFORD AVENUE,11355,-73.81185,40.761317
25024,PS 24,Public,School,141-11 Holly Avenue,11358,-73.817918,40.751515
25029,PS 29,Public,School,125-10 23RD AVENUE,11356,-73.843189,40.778523
25032,PS 32,Public,School,171-11 35TH AVENUE,11358,-73.794675,40.764838
25079,PS 79,Public,School,147-27 15TH DRIVE,11357,-73.81806,40.785989
25107,PS 107,Public,School,167-02 45TH AVENUE,11358,-73.799722,40.755935
25120,PS 120,Public,School,58-01 136TH STREET,11355,-73.829207,40.745518
25129,PS 129,Public,School,128-02 7TH AVENUE,11356,-73.839782,40.79056
25130,PS 130,Public,School,200-01 42 AVENUE,11361,-73.784085,40.759635
25154,PS 154,Public,School,75-02 162ND STREET,11366,-73.806998,40.726765
25163,PS 163,Public,School,159-01 59TH AVENUE,11365,-73.809125,40.740644
25164,PS 164,Public,School,138-01 77TH AVENUE,11367,-73.823386,40.720997
25165,PS 165,Public,School,70-35 150TH STREET,11367,-73.818475,40.730002
25169,PS 169,Public,School,18-25 212TH STREET,11360,-73.778757,40.781993
25184,PS 184,Public,School,163-15 21ST ROAD,11357,-73.800168,40.778173
25185,JHS 185,Public,School,147-26 25TH DRIVE,11354,-73.819351,40.775176
25189,JHS 189Q,Public,School,144-80 BARCLAY AVENUE,11355,-73.820536,40.759765
25193,PS 193,Public,School,152-20 11TH AVENUE,11357,-73.809757,40.792408
25194,JHS 194,Public,School,154-60 17TH AVE,11357,-73.807855,40.783574
25200,PS 200,Public,School,70-10 164TH STREET,11365,-73.805305,40.731392
25201,PS 201,Public,School,65-11 155TH STREET,11367,-73.813247,40.736648
25209,PS 209,Public,School,16-10 UTOPIA PARKWAY,11357,-73.794883,40.783851
25214,PS 214,Public,School,31-15 140TH STREET,11354,-73.828515,40.770389
25219,PS/MS 219,Public,School,144-39 GRAVETT ROAD,11367,-73.824695,40.735246
25237,IS 237,Public,School,46-21 COLDEN STREET,11355,-73.821995,40.749594
25240,VERITAS ACADEMY,Public,School,35-01  UNION STREET,11354,-73.82779,40.765155
25241,QUEENS HS FOR LANGUAGE STUDIES,Public,School,35-01 UNION STREET,11354,-73.82779,40.765155
1020,PS 20,Public,School,166 ESSEX STREET,10002,-73.986671,40.721286
1034,PS 34,Public,School,730 EAST 12TH STREET,10009,-73.975232,40.726404
25242,PS 242,Public,School,29-66 137th STREET,11354,-73.831626,40.771269
25244,ACTIVE LEARNING ELEM SCHOOL,Public,School,137-20 FRANKLIN AVENUE,11355,-73.826728,40.754581
25252,QUEENS SCHOOL OF INQUIRY,Public,School,158-40 76TH ROAD,11366,-73.810216,40.724379
25281,EAST-WEST SCH OF INTER.STUDIES,Public,School,46-21 COLDEN STREET,11355,-73.821995,40.749594
25285,WORLD JOURNALISM PREP,Public,School,34-65 192ND STREET,11358,-73.789981,40.765129
25294,BELL ACADEMY,Public,School,18-25 212 STREET,11360,-73.778757,40.781993
25300,ROBERT F KENNEDY COMM HS,Public,School,75-40 PARSONS BLVD,11366,-73.810799,40.72561
25405,I.S. 250,Public,School,158-40 76 ROAD,11366,-73.810216,40.724379
25419,PS/IS 499 QUEENS COLL SCHOOL,Public,School,148-20 Reeves ave,11367,-73.822093,40.739174
25431,P721Q @ QUEENS COLLEGE,Public,School,64-19 KISSENA BLVD,11367,-73.81461,40.73772
25441,NORTH SIDE SCHOOL,Nonsectarian,School,16-50 UTOPIA PARKWAY,11357,-73.794767,40.783219
25450,P255Q @ TOWNSEND HARRIS HS,Public,School,149-11 MELBOURNE AVE,11367,-73.82138,40.734465
25459,P255Q @ P168Q   MAIN SITE,Public,School,158-40 76 ROAD,11366,-73.810216,40.724379
25460,P233Q @ I025Q,Public,School,34-65 192 ST,11358,-73.789981,40.765129
25463,P993Q @ PS 499,Public,School,148-20 REEVES AVENUE,11367,-73.822093,40.739174
25468,Y.A.B.C. @ FLUSHING HS,Public,School,35-01 UNION STREET,11354,-73.82779,40.765155
25469,P255Q @ P154Q,Public,School,75-02 162 ST,11366,-73.806998,40.726765
25490,NEW YORK CHILD LEARNING INST.,Nonsectarian,School,123-14 14 AVE,11356,-73.844592,40.785277
25501,TOWNSEND HARRIS HS,Public,School,149-11 MELBOURNE AVE,11367,-73.82138,40.734465
25509,FLUSHING HS,Public,School,35-01 UNION STREET,11354,-73.82779,40.765155
25511,THE FLUSHING INTERNATIONAL HS,Public,School,144-80 BARCLAY AVENUE  ROOM 127B,11355,-73.820536,40.759765
25517,QUEENS ACADEMY  HIGH SCHOOL,Public,School,138-11 35TH AVENUE,11354,-73.828828,40.765233
25521,JOHN BOWNE HS,Public,School,63-25 MAIN STREET,11367,-73.824709,40.738897
25551,ALC-LINDEN ACADEMY,Public,School,30-48 LINDEN PLACE 1ST FLOOR,11354,-73.833024,40.770168
25560,P009Q @ P209Q,Public,School,16-10 UTOPIA PARKWAY,11357,-73.794883,40.783851
25573,RESTART MS @FLUSHING HS,Public,School,35-01 UNION STREET,11354,-73.82779,40.765155
25602,WHITESTONE ACADEMY,Nonsectarian,School,150-34 12TH AVENUE,11357,-73.813638,40.790856
25646,MUSLIM CENTER ELEM SCHOOL,Other Religion,School,137-58 GERANIUM AVENUE,11355,-73.821938,40.75005
25647,CSE 3,Public,Office,30-48 LINDEN PLACE,11354,-73.833024,40.770168
25658,P752Q @ BOULEVARD A.L.P.,Public,School,71-61 159TH STREET,11367,-73.809774,40.728125
25659,P752Q @ WATER VIEW NUR.HOME,Public,School,119-56 27TH AVENUE,11354,-73.847809,40.773758
25661,Queens Yeshive K'Tana,Yeshiva,School,78-15 Parsons Blvd.,11366,-73.809604,40.721985
25666,FAMILY WELCOME CENTER,Public,Office,30-48 LINDEN PLACE,11354,-73.833024,40.770168
25667,P2G @ QUEENS MUSEUM @NYC BUILD,Public,School,126 MERIDIAN ROAD,11355,-73.843333,40.747262
25701,ST ANDREW AVELLINO SCH,Parochial,School,35-50 158TH STREET,11358,-73.807185,40.765402
25702,FLUSHING CHRISTIAN SCH,Christian,School,41-54 MURRAY STREET,11355,-73.812475,40.761753
25703,HOLY CROSS HS,Parochial,School,26-20 FRANCIS LEWIS BLVD,11358,-73.795269,40.772518
25704,HOLY TRINITY CATHOLIC ACAD,Parochial,School,14-45 143RD STREET,11357,-73.826057,40.785806
25709,ST AGNES ACADEMIC SCHOOL,Parochial,School,13-20 124TH STREET,11356,-73.843976,40.786362
25714,ST KEVIN SCHOOL,Parochial,School,45-50 195TH STREET,11358,-73.786396,40.754825
25716,ST LUKE SCHOOL,Parochial,School,16-01 150TH PLACE,11357,-73.81044,40.784453
25717,ST MEL SCHOOL,Parochial,School,154-24 26TH AVENUE,11354,-73.809328,40.773812
25718,MOST HOLY REDEEMER CATH ACAD,Parochial,School,136-58 41ST AVENUE,11355,-73.829056,40.758584
25720,SOL SCHECTER SCHOOL OF QNS,Yeshiva,School,76-16 PARSONS BLVD,11366,-73.810763,40.724686
25724,SHEVACH HIGH SCHOOL,Yeshiva,School,75-09 MAIN STREET,11367,-73.820084,40.723815
25742,MESIVTA YESODEI YESHURUN,Yeshiva,School,141-47 71th AVENUE,11367,-73.824319,40.727555
25762,HOLY CROSS GREEK ORTHODOX SCH,Parochial,School,12-03 150TH STREET,11357,-73.814381,40.790578
25764,QSAC DAY SCHOOL,Nonsectarian,School,12-10 150TH STREET,11357,-73.814531,40.790367
25765,YESHIVA OF CENTRAL QUEENS,Yeshiva,School,147-37 70TH ROAD,11367,-73.819511,40.729774
25776,YESH.ED.FOR SPECIAL STUDENTS,Yeshiva,School,147-37 70TH ROAD,11367,-73.819511,40.729774
25778,FULL GOSPEL CHRISTIAN SCHOOL,Christian,School,130-30 31ST AVENUE,11354,-73.840726,40.769214
25792,NORTH QUEENS COMMUNITY HS,Public,School,141-25 77TH ROAD,11367,-73.820004,40.720376
